Collision Pairs (after SRDF filtering):
Pair 287: lewis_fr3_link1_2 <-> richard_fr3_link4_0
Pair 288: lewis_fr3_link1_2 <-> richard_fr3_link4_1
Pair 289: lewis_fr3_link1_2 <-> richard_fr3_link4_2
Pair 290: lewis_fr3_link1_2 <-> richard_fr3_link4_3
Pair 291: lewis_fr3_link1_2 <-> richard_fr3_link5_0
Pair 292: lewis_fr3_link1_2 <-> richard_fr3_link5_1
Pair 293: lewis_fr3_link1_2 <-> richard_fr3_link5_2
Pair 294: lewis_fr3_link1_2 <-> richard_fr3_link5_3
Pair 295: lewis_fr3_link1_2 <-> richard_fr3_link5_4
Pair 296: lewis_fr3_link1_2 <-> richard_fr3_link5_5
Pair 297: lewis_fr3_link1_2 <-> richard_fr3_link5_6
Pair 298: lewis_fr3_link1_2 <-> richard_fr3_link5_7
Pair 299: lewis_fr3_link1_2 <-> richard_fr3_link5_8
Pair 300: lewis_fr3_link1_2 <-> richard_fr3_link5_9
Pair 301: lewis_fr3_link1_2 <-> richard_fr3_link5_10
Pair 302: lewis_fr3_link1_2 <-> richard_fr3_link5_11
Pair 303: lewis_fr3_link1_2 <-> richard_fr3_link6_0
Pair 304: lewis_fr3_link1_2 <-> richard_fr3_link6_1
Pair 305: lewis_fr3_link1_2 <-> richard_fr3_link6_2
Pair 306: lewis_fr3_link1_2 <-> richard_fr3_link7_0
Pair 307: lewis_fr3_link1_2 <-> richard_fr3_link7_1
Pair 308: lewis_fr3_link1_2 <-> richard_fr3_link7_2
Pair 309: lewis_fr3_link1_2 <-> richard_fr3_link7_3
Pair 310: lewis_fr3_link1_2 <-> richard_fr3_link7_4
Pair 311: lewis_fr3_link1_3 <-> lewis_fr3_link4_0
Pair 312: lewis_fr3_link1_3 <-> lewis_fr3_link4_1
Pair 313: lewis_fr3_link1_3 <-> lewis_fr3_link4_2
Pair 314: lewis_fr3_link1_3 <-> lewis_fr3_link4_3
Pair 315: lewis_fr3_link1_3 <-> lewis_fr3_link5_0
Pair 316: lewis_fr3_link1_3 <-> lewis_fr3_link5_1
Pair 317: lewis_fr3_link1_3 <-> lewis_fr3_link5_2
Pair 318: lewis_fr3_link1_3 <-> lewis_fr3_link5_3
Pair 319: lewis_fr3_link1_3 <-> lewis_fr3_link5_4
Pair 320: lewis_fr3_link1_3 <-> lewis_fr3_link5_5
Pair 321: lewis_fr3_link1_3 <-> lewis_fr3_link5_6
Pair 322: lewis_fr3_link1_3 <-> lewis_fr3_link5_7
Pair 323: lewis_fr3_link1_3 <-> lewis_fr3_link5_8
Pair 324: lewis_fr3_link1_3 <-> lewis_fr3_link5_9
Pair 325: lewis_fr3_link1_3 <-> lewis_fr3_link5_10
Pair 326: lewis_fr3_link1_3 <-> lewis_fr3_link5_11
Pair 327: lewis_fr3_link1_3 <-> lewis_fr3_link6_0
Pair 328: lewis_fr3_link1_3 <-> lewis_fr3_link6_1
Pair 329: lewis_fr3_link1_3 <-> lewis_fr3_link6_2
Pair 330: lewis_fr3_link1_3 <-> lewis_fr3_link7_0
Pair 331: lewis_fr3_link1_3 <-> lewis_fr3_link7_1
Pair 332: lewis_fr3_link1_3 <-> lewis_fr3_link7_2
Pair 333: lewis_fr3_link1_3 <-> lewis_fr3_link7_3
Pair 334: lewis_fr3_link1_3 <-> lewis_fr3_link7_4
Pair 335: lewis_fr3_link1_3 <-> richard_fr3_link0_0
